time,src,dst,proto,sport,dport,size,hex
13:00:16,192.168.75.41,3.34.73.107,TCP,59210,443,41,170303002400000000000005f05c0e7488a135d513e51c181c48fa6b72ef737a
13:00:16,3.34.73.107,192.168.75.41,TCP,443,59210,35,170303001e00000000000005f0977310f22d8b5e54ff489cf6670f4928f7add3
13:00:16,104.18.17.140,192.168.75.41,TCP,443,50673,31,170303001a8d33113a18eb25b92ff35f23d0d3830a62a6a29b7bdc13187eae
13:00:16,104.18.17.140,192.168.75.41,TCP,443,58930,31,170303001a287a69a590640e7ea5f6e7d2b7c8c0eb07cd7e9aff9e84cfe461
13:00:16,172.64.148.235,192.168.75.41,TCP,443,53464,24,170303001319e50608e2afa1decc90874e3545d84337b115
13:00:16,192.168.75.41,172.64.148.235,TCP,53464,443,28,1703030017657dee2e61f8b2dceecd70e8ba7ce3d8f4e13084ac3a5a
13:00:16,172.64.148.235,192.168.75.41,TCP,443,53464,6,000000000000
13:00:16,192.168.75.41,3.34.73.107,TCP,59210,443,0,
13:00:16,192.168.75.41,104.18.17.140,TCP,58930,443,0,
13:00:16,192.168.75.41,104.18.17.140,TCP,50673,443,0,
13:00:17,192.168.75.41,224.0.0.251,UDP,5353,5353,40,0000000000010000000000000b5f676f6f676c6563617374045f746370056c6f
13:00:17,192.168.75.41,224.0.0.251,UDP,5353,5353,40,0000000000010000000000000b5f676f6f676c6563617374045f746370056c6f
13:00:17,192.168.75.41,224.0.0.251,UDP,5353,5353,40,0000000000010000000000000b5f676f6f676c6563617374045f746370056c6f
13:00:17,192.168.75.41,224.0.0.251,UDP,5353,5353,40,0000000000010000000000000b5f676f6f676c6563617374045f746370056c6f
13:00:17,104.18.17.140,192.168.75.41,TCP,443,60931,31,170303001ac6bdecc5c215e7d47605729df5d72ae8ed8db730d500d113d83f
13:00:17,192.168.75.41,104.18.17.140,TCP,60931,443,0,
13:00:17,172.66.165.246,192.168.75.41,TCP,443,65279,28,17030300179023419871c75f09a88cda25d5559571eb75d2050de112
13:00:17,192.168.75.41,239.255.255.250,UDP,51982,1900,137,4d2d534541524348202a20485454502f312e310d0a486f73743a203233392e32
13:00:17,192.168.75.1,192.168.75.41,UDP,1900,51982,332,485454502f312e3120323030204f4b0d0a5365727665723a20437573746f6d2f
13:00:17,192.168.75.41,172.66.165.246,TCP,65279,443,0,
13:00:17,192.168.75.41,224.0.0.251,UDP,5353,5353,267,000084000000000400000004023431023735033136380331393207696e2d6164
13:00:17,104.18.17.140,192.168.75.41,TCP,443,50673,31,170303001a60c6e9654af89144815a984f4594c63b8be223fd225f125c64cc
13:00:17,104.18.17.140,192.168.75.41,TCP,443,58930,31,170303001a5807fa1641b4f41d6673db598e1a4f8da7fa09e8e2bd104f0b83
13:00:17,192.168.75.41,104.18.17.140,TCP,50673,443,0,
13:00:17,192.168.75.41,104.18.17.140,TCP,58930,443,0,
13:00:18,104.18.17.140,192.168.75.41,TCP,443,60931,31,170303001a2a78a24986db7f7281473797cdeaf43fc1e500353a179d1c662c
13:00:18,192.168.75.41,104.18.17.140,TCP,60931,443,0,
13:00:18,104.18.17.140,192.168.75.41,TCP,443,50673,31,170303001adf6f7502bfa48b055d49ef8ae95c136ac12f84b4181629e3f8f0
13:00:18,104.18.17.140,192.168.75.41,TCP,443,58930,31,170303001ad5cfafd4f0cc1c04c07d9f2152a404148f8c949f52f1c8174136
13:00:18,192.168.75.41,104.18.17.140,TCP,50673,443,0,
13:00:18,192.168.75.41,104.18.17.140,TCP,58930,443,0,
13:00:19,192.168.75.41,224.0.0.251,UDP,5353,5353,40,0000000000010000000000000b5f676f6f676c6563617374045f746370056c6f
13:00:19,192.168.75.41,224.0.0.251,UDP,5353,5353,40,0000000000010000000000000b5f676f6f676c6563617374045f746370056c6f
13:00:19,192.168.75.41,224.0.0.251,UDP,5353,5353,40,0000000000010000000000000b5f676f6f676c6563617374045f746370056c6f
13:00:19,192.168.75.41,224.0.0.251,UDP,5353,5353,40,0000000000010000000000000b5f676f6f676c6563617374045f746370056c6f
13:00:19,104.18.17.140,192.168.75.41,TCP,443,60931,31,170303001a314260263575e3c2eafc46c07fa0ac40bc4077e713c4935bd629
13:00:19,192.168.75.41,104.18.17.140,TCP,60931,443,0,
13:00:19,142.251.119.95,192.168.75.41,UDP,443,55051,197,5f91b7786b7ac225dc9607a62b7d38dc0736e125160b16b581e1b9d79b48d51c
13:00:19,192.168.75.41,142.251.119.95,UDP,55051,443,33,45fc293b7799f96575f889a9f2577aecc88f42e810fb0febda4bd24ba6967558
13:00:19,104.18.17.140,192.168.75.41,TCP,443,50673,31,170303001a5cc1b56089e7d48a2b21439672280b5c3a412c005c4283e8ff3e
13:00:19,104.18.17.140,192.168.75.41,TCP,443,58930,31,170303001a0619486abf78ceebe4cbe2127e2272b6da55482b8c61ec8f1146
13:00:19,192.168.75.41,104.18.17.140,TCP,58930,443,0,
13:00:19,192.168.75.41,104.18.17.140,TCP,50673,443,0,
13:00:20,104.18.17.140,192.168.75.41,TCP,443,60931,31,170303001a2215a11d6aaa0a1a0693d097fe840f600666219b79d20c5f69d6
13:00:20,192.168.75.41,104.18.17.140,TCP,60931,443,0,
